brand,end_of_month,seasonality,target_revenue,target_revenue_growth,target_perc_gross_margin,target_gross_margin_eur,target_share_channels
Apple,31/01/2022,0.07,"6,221,714",0.28,0.18,"1,144,795",0.52
Apple,28/02/2022,0.06,"5,756,916",0.25,0.18,"1,059,272",0.52
Apple,31/03/2022,0.07,"6,897,719",0.05,0.18,"1,269,180",0.52
Apple,30/04/2022,0.07,"6,859,787",0.28,0.18,"1,262,201",0.52
Apple,31/05/2022,0.08,"7,192,145",0.48,0.18,"1,323,355",0.52
Apple,30/06/2022,0.08,"7,433,672",0.38,0.18,"1,367,796",0.52
Apple,31/07/2022,0.08,"7,536,437",0.22,0.18,"1,386,704",0.52
Apple,31/08/2022,0.08,"7,639,589",0.13,0.18,"1,405,684",0.52
Apple,30/09/2022,0.08,"7,947,175",0.36,0.18,"1,462,280",0.52
Apple,31/10/2022,0.09,"8,912,252",0.54,0.18,"1,639,854",0.52
Apple,30/11/2022,0.13,"12,678,632",0.29,0.18,"2,332,868",0.52
Apple,31/12/2022,0.11,"10,372,770",0.41,0.18,"1,908,590",0.52
Canon,31/01/2022,0.07,"460,533",1.14,0.17,"78,751",0.04
Canon,28/02/2022,0.06,"426,129",0.92,0.17,"72,868",0.04
Canon,31/03/2022,0.07,"510,571",0.93,0.17,"87,308",0.04
Canon,30/04/2022,0.07,"507,763",0.60,0.17,"86,828",0.04
Canon,31/05/2022,0.08,"532,365",0.38,0.17,"91,034",0.04
Canon,30/06/2022,0.08,"550,243",0.55,0.17,"94,091",0.04
Canon,31/07/2022,0.08,"557,849",0.49,0.17,"95,392",0.04
Canon,31/08/2022,0.08,"565,485",0.20,0.17,"96,698",0.04
Canon,30/09/2022,0.08,"588,252",0.22,0.17,"100,591",0.04
Canon,31/10/2022,0.09,"659,688",0.41,0.17,"112,807",0.04
Canon,30/11/2022,0.13,"938,476",0.42,0.17,"160,479",0.04
Canon,31/12/2022,0.11,"767,795",0.55,0.17,"131,293",0.04
Google,31/01/2022,0.07,"73,257",-0.16,0.23,"16,703",0.01
Google,28/02/2022,0.06,"67,784",0.06,0.23,"15,455",0.01
Google,31/03/2022,0.07,"81,216",0.30,0.23,"18,517",0.01
Google,30/04/2022,0.07,"80,770",0.47,0.23,"18,415",0.01
Google,31/05/2022,0.08,"84,683",0.99,0.23,"19,308",0.01
Google,30/06/2022,0.08,"87,527",0.50,0.23,"19,956",0.01
Google,31/07/2022,0.08,"88,737",0.46,0.23,"20,232",0.01
Google,31/08/2022,0.08,"89,951",0.24,0.23,"20,509",0.01
Google,30/09/2022,0.08,"93,573",0.05,0.23,"21,335",0.01
Google,31/10/2022,0.09,"104,936",-0.03,0.23,"23,925",0.01
Google,30/11/2022,0.13,"149,283",-0.18,0.23,"34,036",0.01
Google,31/12/2022,0.11,"122,133",-0.11,0.23,"27,846",0.01
Huawei,31/01/2022,0.07,"188,772",-0.08,0.31,"57,576",0.02
Huawei,28/02/2022,0.06,"174,670",-0.07,0.31,"53,274",0.02
Huawei,31/03/2022,0.07,"209,283",0.01,0.31,"63,831",0.02
Huawei,30/04/2022,0.07,"208,132",0.34,0.31,"63,480",0.02
Huawei,31/05/2022,0.08,"218,216",0.20,0.31,"66,556",0.02
Huawei,30/06/2022,0.08,"225,544",-0.08,0.31,"68,791",0.02
Huawei,31/07/2022,0.08,"228,662",-0.20,0.31,"69,742",0.02
Huawei,31/08/2022,0.08,"231,792",-0.15,0.31,"70,697",0.02
Huawei,30/09/2022,0.08,"241,124",-0.05,0.31,"73,543",0.02
Huawei,31/10/2022,0.09,"270,406",0.68,0.31,"82,474",0.02
Huawei,30/11/2022,0.13,"384,681",0.41,0.31,"117,328",0.02
Huawei,31/12/2022,0.11,"314,719",0.53,0.31,"95,989",0.02
Microsoft,31/01/2022,0.07,"294,170",0.52,0.19,"56,775",0.02
