category,end_of_month,seasonality,target_revenue,target_revenue_growth,target_perc_gross_margin,target_gross_margin_eur,target_share_channels
Apple Displays,31/01/2022,0.07,"1,501.50",-0.58,0.28,  420 ,0.00
Apple MacBooks,31/01/2022,0.07,"1,109,575.95",0.31,0.18,"  199,724 ",0.09
Apple Macs,31/01/2022,0.07,"179,992.83",0.27,0.18,"  32,399 ",0.01
Audio & HiFi,31/01/2022,0.07,"112,407.80",0.23,0.25,"  28,102 ",0.01
Blitzgeräte,31/01/2022,0.07,"6,702.85",0.94,0.40,"  2,681 ",0.00
Camcorder,31/01/2022,0.07,"52,031.28",1.13,0.18,"  9,366 ",0.00
Digitalkameras,31/01/2022,0.07,"1,011,793.92",0.96,0.18,"  182,123 ",0.08
Grafikkarten,31/01/2022,0.07,"13,520.43",-0.42,0.25,"  3,380 ",0.00
Handys,31/01/2022,0.07,"6,655,709.62",0.37,0.18,"  1,217,994.86 ",0.55
Konsolen,31/01/2022,0.07,"278,716.44",1.61,0.25,"  69,679 ",0.02
Notebooks,31/01/2022,0.07,"110,857.56",0.76,0.16,"  17,737 ",0.01
Objektive,31/01/2022,0.07,"630,492.81",1.17,0.22,"  138,708 ",0.05
Other or new,31/01/2022,0.07,"18,894.84",1.00,0.82,"  15,430 ",0.00
Smartwatches,31/01/2022,0.07,"118,952.20",0.21,0.30,"  35,686 ",0.01
Tablets,31/01/2022,0.07,"1,466,798.32",0.56,0.18,"  264,024 ",0.12
Virtual Reality,31/01/2022,0.07,0.00,-1.00,0.50,,0.00
Zubehoer,31/01/2022,0.07,"287,686.50",4.08,0.15,"  43,153 ",0.02
Apple Displays,28/02/2022,0.06,"1,379.16",0.39,0.28,  386 ,0.00
Apple MacBooks,28/02/2022,0.06,"1,019,166.06",0.47,0.18,"  183,450 ",0.09
Apple Macs,28/02/2022,0.06,"165,326.75",0.48,0.18,"  29,759 ",0.01
Audio & HiFi,28/02/2022,0.06,"103,248.65",0.21,0.25,"  25,812 ",0.01
Blitzgeräte,28/02/2022,0.06,"6,156.69",0.78,0.40,"  2,463 ",0.00
Camcorder,28/02/2022,0.06,"47,791.69",0.33,0.18,"  8,603 ",0.00
Digitalkameras,28/02/2022,0.06,"929,351.45",0.91,0.18,"  167,283 ",0.08
Grafikkarten,28/02/2022,0.06,"12,418.76",-0.57,0.25,"  3,105 ",0.00
Handys,28/02/2022,0.06,"6,113,392.54",0.16,0.18,"  1,118,751 ",0.55
Konsolen,28/02/2022,0.06,"256,006.21",2.03,0.25,"  64,002 ",0.02
Notebooks,28/02/2022,0.06,"101,824.72",0.50,0.16,"  16,292 ",0.01
Objektive,28/02/2022,0.06,"579,119.32",0.94,0.22,"  127,406 ",0.05
Other or new,28/02/2022,0.06,"99,040.45",1.00,0.30,"  29,681 ",0.01
Smartwatches,28/02/2022,0.06,"109,259.80",0.59,0.30,"  32,778 ",0.01
Tablets,28/02/2022,0.06,"1,347,281.42",0.58,0.18,"  242,511 ",0.12
Virtual Reality,28/02/2022,0.06,0.00,-1.00,0.50,,0.00
Zubehoer,28/02/2022,0.06,"264,245.38",3.01,0.15,"  39,637 ",0.02
Apple Displays,31/03/2022,0.07,"1,646.09",2.17,0.28,  461 ,0.00
Apple MacBooks,31/03/2022,0.07,"1,216,424.01",0.52,0.18,"  218,956 ",0.09
Apple Macs,31/03/2022,0.07,"197,325.47",0.14,0.18,"  35,519 ",0.01
Audio & HiFi,31/03/2022,0.07,"123,232.25",0.15,0.25,"  30,808 ",0.01
Blitzgeräte,31/03/2022,0.07,"7,348.31",1.06,0.40,"  2,939 ",0.00
Camcorder,31/03/2022,0.07,"57,041.70",0.43,0.18,"  10,268 ",0.00
