channel,end_of_month,seasonality,target_revenue,target_revenue_growth,target_perc_gross_margin,target_gross_margin_eur,target_share_channels
Amazon,31/01/2022,0.07,"56,298.06",0.15,0.23,"12,948.55",0.00
Amazon,28/02/2022,0.06,"51,710.81",0.15,0.23,"11,893.49",0.00
Amazon,31/03/2022,0.07,"61,719.35",0.15,0.23,"14,195.45",0.00
Amazon,30/04/2022,0.07,"60,885.31",0.15,0.23,"14,003.62",0.00
Amazon,31/05/2022,0.08,"63,387.44",0.15,0.23,"14,579.11",0.00
Amazon,30/06/2022,0.08,"65,055.53",0.15,0.23,"14,962.77",0.00
Amazon,31/07/2022,0.08,"65,472.55",0.15,0.23,"15,058.69",0.00
Amazon,31/08/2022,0.08,"65,889.58",0.15,0.23,"15,154.60",0.00
Amazon,30/09/2022,0.08,"68,391.71",0.15,0.23,"15,730.09",0.00
Amazon,31/10/2022,0.09,"76,732.17",0.15,0.23,"17,648.40",0.00
Amazon,30/11/2022,0.13,"109,259.93",0.15,0.23,"25,129.78",0.00
Amazon,31/12/2022,0.11,"89,242.85",0.15,0.23,"20,525.85",0.00
B2B Verkauf,31/01/2022,0.07,0.00,-1.00,,,0.00
B2B Verkauf,28/02/2022,0.06,0.00,-1.00,,,0.00
B2B Verkauf,31/03/2022,0.07,0.00,-1.00,,,0.00
B2B Verkauf,30/04/2022,0.07,0.00,-1.00,,,0.00
B2B Verkauf,31/05/2022,0.08,0.00,-1.00,,,0.00
B2B Verkauf,30/06/2022,0.08,0.00,-1.00,,,0.00
B2B Verkauf,31/07/2022,0.08,0.00,-1.00,,,0.00
B2B Verkauf,31/08/2022,0.08,0.00,-1.00,,,0.00
B2B Verkauf,30/09/2022,0.08,0.00,-1.00,,,0.00
B2B Verkauf,31/10/2022,0.09,0.00,-1.00,,,0.00
B2B Verkauf,30/11/2022,0.13,0.00,-1.00,,,0.00
B2B Verkauf,31/12/2022,0.11,0.00,-1.00,,,0.00
Back Market,31/01/2022,0.07,"993,045.67",0.15,0.27,"268,122.33",0.08
Back Market,28/02/2022,0.06,"912,130.83",0.15,0.27,"246,275.33",0.08
Back Market,31/03/2022,0.07,"1,088,672.29",0.15,0.27,"293,941.52",0.08
Back Market,30/04/2022,0.07,"1,073,960.50",0.15,0.27,"289,969.33",0.08
Back Market,31/05/2022,0.08,"1,118,095.86",0.15,0.27,"301,885.88",0.08
Back Market,30/06/2022,0.08,"1,147,519.44",0.15,0.27,"309,830.25",0.08
Back Market,31/07/2022,0.08,"1,154,875.33",0.15,0.27,"311,816.34",0.08
Back Market,31/08/2022,0.08,"1,162,231.23",0.15,0.27,"313,802.43",0.08
Back Market,30/09/2022,0.08,"1,206,366.59",0.15,0.27,"325,718.98",0.08
Back Market,31/10/2022,0.09,"1,353,484.46",0.15,0.27,"365,440.81",0.08
Back Market,30/11/2022,0.13,"1,927,244.18",0.15,0.27,"520,355.93",0.08
Back Market,31/12/2022,0.11,"1,574,161.28",0.15,0.27,"425,023.55",0.08
Cdiscount,31/01/2022,0.07,"115,567.53",0.20,0.24,"27,736.21",0.01
Cdiscount,28/02/2022,0.06,"106,150.92",0.20,0.24,"25,476.22",0.01
Cdiscount,31/03/2022,0.07,"126,696.26",0.20,0.24,"30,407.10",0.01
Cdiscount,30/04/2022,0.07,"124,984.14",0.20,0.24,"29,996.19",0.01
Cdiscount,31/05/2022,0.08,"130,120.48",0.20,0.24,"31,228.92",0.01
Cdiscount,30/06/2022,0.08,"133,544.70",0.20,0.24,"32,050.73",0.01
Cdiscount,31/07/2022,0.08,"134,400.76",0.20,0.24,"32,256.18",0.01
Cdiscount,31/08/2022,0.08,"135,256.81",0.20,0.24,"32,461.64",0.01
Cdiscount,30/09/2022,0.08,"140,393.15",0.20,0.24,"33,694.36",0.01
Cdiscount,31/10/2022,0.09,"157,514.26",0.20,0.24,"37,803.42",0.01
Cdiscount,30/11/2022,0.13,"224,286.62",0.20,0.24,"53,828.79",0.01
Cdiscount,31/12/2022,0.11,"183,195.94",0.20,0.24,"43,967.03",0.01
eBay,31/01/2022,0.07,"749,639.11",0.15,0.16,"119,942.26",0.06
eBay,28/02/2022,0.06,"688,557.41",0.15,0.16,"110,169.19",0.06
