condition,end_of_month,seasonality,target_revenue,target_revenue_growth,target_perc_gross_margin,target_gross_margin_eur,target_share_channels
1,31/01/2022,0.07,"48,223",0.12,0.27,"  13,099 ",0.00
1,28/02/2022,0.06,"44,620",0.12,0.28,"  12,311 ",0.00
1,31/03/2022,0.07,"53,462",0.12,0.31,"  16,704 ",0.00
1,30/04/2022,0.07,"53,168",0.12,0.31,"  16,408 ",0.00
1,31/05/2022,0.08,"55,744",0.12,0.31,"  17,512 ",0.00
1,30/06/2022,0.08,"57,616",0.12,0.32,"  18,379 ",0.00
1,31/07/2022,0.08,"58,413",0.12,0.32,"  18,728 ",0.00
1,31/08/2022,0.08,"59,212",0.12,0.32,"  19,102 ",0.00
1,30/09/2022,0.08,"61,596",0.12,0.30,"  18,594 ",0.00
1,31/10/2022,0.09,"69,076",0.12,0.31,"  21,150 ",0.00
1,30/11/2022,0.13,"98,268",0.12,0.31,"  30,937 ",0.00
1,31/12/2022,0.11,"80,396",0.12,0.30,"  24,074 ",0.00
2,31/01/2022,0.07,"1,205,563",0.66,0.28,"  336,352 ",0.10
2,28/02/2022,0.06,"1,115,501",0.66,0.28,"  311,225 ",0.10
2,31/03/2022,0.07,"1,336,551",0.66,0.28,"  372,898 ",0.10
2,30/04/2022,0.07,"1,329,201",0.66,0.28,"  370,847 ",0.10
2,31/05/2022,0.08,"1,393,601",0.66,0.28,"  388,815 ",0.10
2,30/06/2022,0.08,"1,440,401",0.66,0.28,"  401,872 ",0.10
2,31/07/2022,0.08,"1,460,314",0.66,0.28,"  407,428 ",0.10
2,31/08/2022,0.08,"1,480,301",0.66,0.28,"  413,004 ",0.10
2,30/09/2022,0.08,"1,539,901",0.66,0.28,"  429,632 ",0.10
2,31/10/2022,0.09,"1,726,901",0.66,0.28,"  481,805 ",0.10
2,30/11/2022,0.13,"2,456,702",0.66,0.28,"  685,420 ",0.10
2,31/12/2022,0.11,"2,009,902",0.66,0.28,"  560,763 ",0.10
3,31/01/2022,0.07,"3,086,243",0.49,0.24,"  734,526 ",0.26
3,28/02/2022,0.06,"2,855,682",0.49,0.24,"  679,652 ",0.26
3,31/03/2022,0.07,"3,421,571",0.49,0.24,"  814,334 ",0.26
3,30/04/2022,0.07,"3,402,755",0.49,0.24,"  809,856 ",0.26
3,31/05/2022,0.08,"3,567,619",0.49,0.24,"  849,093 ",0.26
3,30/06/2022,0.08,"3,687,427",0.49,0.24,"  877,608 ",0.26
3,31/07/2022,0.08,"3,738,403",0.49,0.24,"  889,740 ",0.26
3,31/08/2022,0.08,"3,789,571",0.49,0.24,"  901,918 ",0.26
3,30/09/2022,0.08,"3,942,147",0.49,0.24,"  938,231 ",0.26
3,31/10/2022,0.09,"4,420,867",0.49,0.24,"  1,052,166 ",0.26
3,30/11/2022,0.13,"6,289,157",0.49,0.24,"  1,496,819 ",0.26
3,31/12/2022,0.11,"5,145,348",0.49,0.24,"  1,224,593 ",0.26
4,31/01/2022,0.07,"3,857,803",0.35,0.18,"  694,405 ",0.32
4,28/02/2022,0.06,"3,569,603",0.35,0.18,"  642,529 ",0.32
4,31/03/2022,0.07,"4,276,963",0.35,0.18,"  769,853 ",0.32
4,30/04/2022,0.07,"4,253,443",0.35,0.18,"  765,620 ",0.32
4,31/05/2022,0.08,"4,459,524",0.35,0.18,"  802,714 ",0.32
4,30/06/2022,0.08,"4,609,284",0.35,0.18,"  829,671 ",0.32
4,31/07/2022,0.08,"4,673,004",0.35,0.18,"  841,141 ",0.32
4,31/08/2022,0.08,"4,736,964",0.35,0.18,"  852,653 ",0.32
4,30/09/2022,0.08,"4,927,684",0.35,0.18,"  886,983 ",0.32
4,31/10/2022,0.09,"5,526,084",0.35,0.18,"  994,695 ",0.32
4,30/11/2022,0.13,"7,861,446",0.35,0.18,"  1,415,060 ",0.32
4,31/12/2022,0.11,"6,431,685",0.35,0.18,"  1,157,703 ",0.32
5,31/01/2022,0.07,"3,857,803",0.29,0.13,"  482,225 ",0.32
5,28/02/2022,0.06,"3,569,603",0.29,0.13,"  446,200 ",0.32
5,31/03/2022,0.07,"4,276,963",0.29,0.13,"  534,620 ",0.32
5,30/04/2022,0.07,"4,253,443",0.29,0.13,"  531,680 ",0.32
5,31/05/2022,0.08,"4,459,524",0.29,0.13,"  557,440 ",0.32
5,30/06/2022,0.08,"4,609,284",0.29,0.13,"  576,160 ",0.32
5,31/07/2022,0.08,"4,673,004",0.29,0.13,"  584,125 ",0.32
5,31/08/2022,0.08,"4,736,964",0.29,0.13,"  592,120 ",0.32
5,30/09/2022,0.08,"4,927,684",0.29,0.13,"  615,960 ",0.32
5,31/10/2022,0.09,"5,526,084",0.29,0.13,"  690,761 ",0.32
5,30/11/2022,0.13,"7,861,446",0.29,0.13,"  982,681 ",0.32
5,31/12/2022,0.11,"6,431,685",0.29,0.13,"  803,961 ",0.32
